index,City,State,Country,Region,Market,LocationID
109,Jiutepec,Morelos,Mexico,Central America,LATAM,44
111,Huehuetenango,Huehuetenango,Guatemala,Central America,LATAM,45
112,Resistencia,Chaco,Argentina,South America,LATAM,46
115,Santa Cruz de Barahona,Barahona,Dominican Republic,Caribbean,LATAM,47
116,Curitiba,Parana,Brazil,South America,LATAM,48
117,Soledad,Atlántico,Colombia,South America,LATAM,49
121,Charallave,Miranda,Venezuela,South America,LATAM,50
122,Carrefour,Ouest,Haiti,Caribbean,LATAM,51
124,João Pessoa,Paraíba,Brazil,South America,LATAM,52
129,Manzanillo,Granma,Cuba,Caribbean,LATAM,53
131,Irapuato,Guanajuato,Mexico,Central America,LATAM,54
134,Mendoza,Mendoza,Argentina,South America,LATAM,55
138,León,Guanajuato,Mexico,Central America,LATAM,56
139,Caxias do Sul,Rio Grande do Sul,Brazil,South America,LATAM,57
141,Tlaquepaque,Jalisco,Mexico,Central America,LATAM,58
146,Choloma,Cortés,Honduras,Central America,LATAM,59
150,Holguín,Holguín,Cuba,Caribbean,LATAM,60
153,Santiago de los Caballeros,Santiago,Dominican Republic,Caribbean,LATAM,61
154,Juazeiro,Bahia,Brazil,South America,LATAM,62
159,Cienfuegos,Cienfuegos,Cuba,Caribbean,LATAM,63
161,Pinar del Río,Pinar del Río,Cuba,Caribbean,LATAM,64
163,Guacara,Carabobo,Venezuela,South America,LATAM,65
164,Mexicali,Baja California,Mexico,Central America,LATAM,66
165,Ilopango,San Salvador,El Salvador,Central America,LATAM,67
168,Salta,Salta,Argentina,South America,LATAM,68
171,Morelia,Michoacán,Mexico,Central America,LATAM,69
175,Delgado,San Salvador,El Salvador,Central America,LATAM,70
178,Santiago de Cuba,Santiago de Cuba,Cuba,Caribbean,LATAM,71
185,Soacha,Cundinamarca,Colombia,South America,LATAM,72
192,Zapopan,Jalisco,Mexico,Central America,LATAM,73
193,Ibagué,Tolima,Colombia,South America,LATAM,74
202,Guadalajara,Jalisco,Mexico,Central America,LATAM,75
203,Obregón,Sonora,Mexico,Central America,LATAM,76
204,Puerto La Cruz,Anzoátegui,Venezuela,South America,LATAM,77
214,Osasco,São Paulo,Brazil,South America,LATAM,78
226,Juárez,Chihuahua,Mexico,Central America,LATAM,79
227,San Salvador,San Salvador,El Salvador,Central America,LATAM,80
228,Masaya,Masaya,Nicaragua,Central America,LATAM,81
234,Santa Ana,Santa Ana,El Salvador,Central America,LATAM,82
236,Chinandega,Chinandega,Nicaragua,Central America,LATAM,83
237,Tlalnepantla,México,Mexico,Central America,LATAM,84
240,Palma Soriano,Santiago de Cuba,Cuba,Caribbean,LATAM,85
244,Mejicanos,San Salvador,El Salvador,Central America,LATAM,86
246,Santa Clara,Villa Clara,Cuba,Caribbean,LATAM,87
255,Tepic,Nayarit,Mexico,Central America,LATAM,88
257,Barretos,São Paulo,Brazil,South America,LATAM,89
261,Soledad Díez Gutiérrez,San Luis Potosí,Mexico,Central America,LATAM,90
263,Maracaibo,Zulia,Venezuela,South America,LATAM,91
264,Monclova,Coahuila,Mexico,Central America,LATAM,92
265,Villa Nueva,Guatemala,Guatemala,Central America,LATAM,93
266,Coacalco,México,Mexico,Central America,LATAM,94
267,Maringá,Parana,Brazil,South America,LATAM,95
270,San Fernando del Valle de Catamarca,Catamarca,Argentina,South America,LATAM,96
275,Gonaïves,Artibonite,Haiti,Caribbean,LATAM,97
279,Paço do Lumiar,Maranhão,Brazil,South America,LATAM,98
280,Blumenau,Santa Catarina,Brazil,South America,LATAM,99
283,Salvador,Bahia,Brazil,South America,LATAM,100
288,Barquisimeto,Lara,Venezuela,South America,LATAM,101
289,Cuscatancingo,San Salvador,El Salvador,Central America,LATAM,102
291,San Justo,Santa Fe,Argentina,South America,LATAM,103
292,Ananindeua,Pará,Brazil,South America,LATAM,104
298,La Plata,Provincia de Buenos Aires,Argentina,South America,LATAM,105
304,Santa Marta,Magdalena,Colombia,South America,LATAM,106
316,Matagalpa,Matagalpa,Nicaragua,Central America,LATAM,107
319,Mérida,Mérida,Venezuela,South America,LATAM,108
322,Soyapango,San Salvador,El Salvador,Central America,LATAM,109
323,Orizaba,Veracruz,Mexico,Central America,LATAM,110
327,Amatitlán,Guatemala,Guatemala,Central America,LATAM,111
331,Paulista,Pernambuco,Brazil,South America,LATAM,112
334,Petapa,Guatemala,Guatemala,Central America,LATAM,113
335,San Pedro Sula,Cortés,Honduras,Central America,LATAM,114
337,Paraná,Entre Ríos,Argentina,South America,LATAM,115
342,Ituiutaba,Minas Gerais,Brazil,South America,LATAM,116
349,Guarapuava,Parana,Brazil,South America,LATAM,117
366,Maturín,Monagas,Venezuela,South America,LATAM,118
370,Saltillo,Coahuila,Mexico,Central America,LATAM,119
378,Ijuí,Rio Grande do Sul,Brazil,South America,LATAM,120
382,Puno,Puno,Peru,South America,LATAM,121
386,Bogotá,Bogota,Colombia,South America,LATAM,122
389,Escuintla,Escuintla,Guatemala,Central America,LATAM,123
396,Yopal,Casanare,Colombia,South America,LATAM,124
397,Córdoba,Veracruz,Mexico,Central America,LATAM,125
401,Valles,San Luis Potosí,Mexico,Central America,LATAM,126
404,San Pedro de Macorís,San Pedro de Macorís,Dominican Republic,Caribbean,LATAM,127
406,Cochabamba,Cochabamba,Bolivia,South America,LATAM,128
410,Córdoba,Córdoba,Argentina,South America,LATAM,129
412,Montevideo,Montevideo,Uruguay,South America,LATAM,130
414,Apopa,San Salvador,El Salvador,Central America,LATAM,131
420,Fort-de-France,Martinique,Martinique,Caribbean,LATAM,132
425,Cuajimalpa,Distrito Federal,Mexico,Central America,LATAM,133
428,El Progreso,Yoro,Honduras,Central America,LATAM,134
431,Tampico,Tamaulipas,Mexico,Central America,LATAM,135
440,Paranaguá,Parana,Brazil,South America,LATAM,136
441,León,León,Nicaragua,Central America,LATAM,137
443,Manizales,Caldas,Colombia,South America,LATAM,138
446,Itapetininga,São Paulo,Brazil,South America,LATAM,139
453,Azcapotzalco,Distrito Federal,Mexico,Central America,LATAM,140
460,Querétaro,Querétaro,Mexico,Central America,LATAM,141
463,Cubatão,São Paulo,Brazil,South America,LATAM,142
465,Quetzaltenango,Quezaltenango,Guatemala,Central America,LATAM,143
469,Porto Alegre,Rio Grande do Sul,Brazil,South America,LATAM,144
472,Chinautla,Guatemala,Guatemala,Central America,LATAM,145
474,Piedecuesta,Santander,Colombia,South America,LATAM,146
492,Copiapó,Atacama,Chile,South America,LATAM,147
499,San Juan de la Maguana,San Juan,Dominican Republic,Caribbean,LATAM,148
500,Apartadó,Antioquia,Colombia,South America,LATAM,149
512,Consolación del Sur,Pinar del Río,Cuba,Caribbean,LATAM,150
524,Limeira,São Paulo,Brazil,South America,LATAM,151
528,Bayamo,Granma,Cuba,Caribbean,LATAM,152
531,Villa Canales,Guatemala,Guatemala,Central America,LATAM,153
560,Belo Horizonte,Minas Gerais,Brazil,South America,LATAM,154
602,Penedo,Alagoas,Brazil,South America,LATAM,155
609,Contramaestre,Santiago de Cuba,Cuba,Caribbean,LATAM,156
611,Apodaca,Nuevo León,Mexico,Central America,LATAM,157
613,Guarujá,São Paulo,Brazil,South America,LATAM,158
626,Miguel Hidalgo,Distrito Federal,Mexico,Central America,LATAM,159
627,David,Chiriquí,Panama,Central America,LATAM,160
628,Manaus,Amazonas,Brazil,South America,LATAM,161
633,Francisco Morato,São Paulo,Brazil,South America,LATAM,162
635,Villa Alemana,Valparaíso,Chile,South America,LATAM,163
640,Puebla,Puebla,Mexico,Central America,LATAM,164
642,Uberaba,Minas Gerais,Brazil,South America,LATAM,165
645,Villahermosa,Tabasco,Mexico,Central America,LATAM,166
661,Valledupar,Cesar,Colombia,South America,LATAM,167
665,Choluteca,Choluteca,Honduras,Central America,LATAM,168
670,Sancti Spíritus,Sancti Spíritus,Cuba,Caribbean,LATAM,169
677,Antiguo Cuscatlán,La Libertad,El Salvador,Central America,LATAM,170
679,Mérida,Yucatán,Mexico,Central America,LATAM,171
680,Durango,Durango,Mexico,Central America,LATAM,172
686,Tipitapa,Managua,Nicaragua,Central America,LATAM,173
689,Fresnillo de González Echeverría,Zacatecas,Mexico,Central America,LATAM,174
696,Crato,Ceará,Brazil,South America,LATAM,175
699,Petare,Miranda,Venezuela,South America,LATAM,176
703,Victoria,Tamaulipas,Mexico,Central America,LATAM,177
711,Baní,Peravia,Dominican Republic,Caribbean,LATAM,178
722,Las Tunas,Las Tunas,Cuba,Caribbean,LATAM,179
727,Fortaleza,Ceará,Brazil,South America,LATAM,180
733,Granada,Granada,Nicaragua,Central America,LATAM,181
737,São Bernardo do Campo,São Paulo,Brazil,South America,LATAM,182
738,Bonao,Monseñor Nouel,Dominican Republic,Caribbean,LATAM,183
739,Camaragibe,Pernambuco,Brazil,South America,LATAM,184
753,San Luis Río Colorado,Sonora,Mexico,Central America,LATAM,185
771,Mauá,São Paulo,Brazil,South America,LATAM,186
778,Duque de Caxias,Rio de Janeiro,Brazil,South America,LATAM,187
782,Santarém,Pará,Brazil,South America,LATAM,188
788,Potosí,Potosí,Bolivia,South America,LATAM,189
794,Avellaneda,Santa Fe,Argentina,South America,LATAM,190
796,Los Mochis,Sinaloa,Mexico,Central America,LATAM,191
807,Malambo,Atlántico,Colombia,South America,LATAM,192
808,Maceió,Alagoas,Brazil,South America,LATAM,193
814,Valencia,Carabobo,Venezuela,South America,LATAM,194
819,Matanzas,Matanzas,Cuba,Caribbean,LATAM,195
822,San Pablo de las Salinas,México,Mexico,Central America,LATAM,196
832,Arraiján,Panama,Panama,Central America,LATAM,197
833,Santos,São Paulo,Brazil,South America,LATAM,198
844,Puente Alto,Santiago,Chile,South America,LATAM,199
852,Celaya,Guanajuato,Mexico,Central America,LATAM,200
855,Gómez Palacio,Durango,Mexico,Central America,LATAM,201
862,Pindamonhangaba,São Paulo,Brazil,South America,LATAM,202
869,San Martín,Cuscatlán,El Salvador,Central America,LATAM,203
892,Moa,Holguín,Cuba,Caribbean,LATAM,204
898,Birigui,São Paulo,Brazil,South America,LATAM,205
911,Coatzacoalcos,Veracruz,Mexico,Central America,LATAM,206
917,Pelotas,Rio Grande do Sul,Brazil,South America,LATAM,207
919,Santa Catarina,Nuevo León,Mexico,Central America,LATAM,208
924,Balneário Camboriú,Santa Catarina,Brazil,South America,LATAM,209
932,Cúcuta,Norte de Santander,Colombia,South America,LATAM,210
951,Cancún,Quintana Roo,Mexico,Central America,LATAM,211
955,Uruguaiana,Rio Grande do Sul,Brazil,South America,LATAM,212
957,Arapongas,Parana,Brazil,South America,LATAM,213
981,Barranca,Lima,Peru,South America,LATAM,214
997,Seropédica,Rio de Janeiro,Brazil,South America,LATAM,215
1000,San Lorenzo,Central,Paraguay,South America,LATAM,216
1003,Londrina,Parana,Brazil,South America,LATAM,217
1013,Ribeirão Preto,São Paulo,Brazil,South America,LATAM,218
1031,San Francisco del Rincón,Guanajuato,Mexico,Central America,LATAM,219
1043,Jurema,Pernambuco,Brazil,South America,LATAM,220
1052,Itapecerica da Serra,São Paulo,Brazil,South America,LATAM,221
1053,São Luís,Maranhão,Brazil,South America,LATAM,222
1060,Punta Arenas,Magallanes y Antártica Chilena,Chile,South America,LATAM,223
1062,Parintins,Amazonas,Brazil,South America,LATAM,224
1074,Envigado,Antioquia,Colombia,South America,LATAM,225
1081,Garza García,Nuevo León,Mexico,Central America,LATAM,226
1089,Aracaju,Sergipe,Brazil,South America,LATAM,227
1091,Armenia,Quindío,Colombia,South America,LATAM,228
1097,Cruzeiro,São Paulo,Brazil,South America,LATAM,229
1103,Portmore,Saint Catherine,Jamaica,Caribbean,LATAM,230
1112,Yacuiba,Tarija,Bolivia,South America,LATAM,231
1117,San Luis Potosí,San Luis Potosí,Mexico,Central America,LATAM,232
1121,Rosario,Santa Fe,Argentina,South America,LATAM,233
1125,Sapucaia do Sul,Rio Grande do Sul,Brazil,South America,LATAM,234
1138,Santiago del Estero,Santiago del Estero,Argentina,South America,LATAM,235
1141,Culiacán,Sinaloa,Mexico,Central America,LATAM,236
1148,San Francisco de Macorís,Duarte,Dominican Republic,Caribbean,LATAM,237
1166,Poços de Caldas,Minas Gerais,Brazil,South America,LATAM,238
1169,Ariquemes,Rondônia,Brazil,South America,LATAM,239
1171,Puerto Padre,Las Tunas,Cuba,Caribbean,LATAM,240
1175,Poza Rica de Hidalgo,Veracruz,Mexico,Central America,LATAM,241
1195,Guarapari,Espírito Santo,Brazil,South America,LATAM,242
1199,Duitama,Boyacá,Colombia,South America,LATAM,243
1209,Miramar,Tamaulipas,Mexico,Central America,LATAM,244
1212,Talcahuano,Biobio,Chile,South America,LATAM,245
1251,Castanhal,Pará,Brazil,South America,LATAM,246
1253,Sonsonate,Sonsonate,El Salvador,Central America,LATAM,247
1258,Cuernavaca,Morelos,Mexico,Central America,LATAM,248
1271,Cipolletti,Río Negro,Argentina,South America,LATAM,249
1282,Quesada,Alajuela,Costa Rica,Central America,LATAM,250
1285,Lázaro Cárdenas,Michoacán,Mexico,Central America,LATAM,251
1288,Colón,Colón,Panama,Central America,LATAM,252
1297,Vacaria,Rio Grande do Sul,Brazil,South America,LATAM,253
1308,La Vega,La Vega,Dominican Republic,Caribbean,LATAM,254
1310,Sorocaba,São Paulo,Brazil,South America,LATAM,255
1315,Betim,Minas Gerais,Brazil,South America,LATAM,256
1317,Heroica Zitácuaro,Michoacán,Mexico,Central America,LATAM,257
1320,Tecomán,Colima,Mexico,Central America,LATAM,258
1322,Montes Claros,Minas Gerais,Brazil,South America,LATAM,259
1358,Bagé,Rio Grande do Sul,Brazil,South America,LATAM,260
1378,Frontera,Tabasco,Mexico,Central America,LATAM,261
1381,Santana de Parnaíba,São Paulo,Brazil,South America,LATAM,262
1386,Trinidad,Beni,Bolivia,South America,LATAM,263
1391,Bridgetown,Saint Michael,Barbados,Caribbean,LATAM,264
1397,Arica,Arica y Parinacota,Chile,South America,LATAM,265
1404,Araguaína,Tocantins,Brazil,South America,LATAM,266
1415,Paramaribo,Paramaribo,Suriname,South America,LATAM,267
1417,La Paz,La Paz,Bolivia,South America,LATAM,268
1428,Tlalpan,Distrito Federal,Mexico,Central America,LATAM,269
1429,Bucaramanga,Santander,Colombia,South America,LATAM,270
1434,Gravatá,Pernambuco,Brazil,South America,LATAM,271
1444,Callao,Callao,Peru,South America,LATAM,272
1462,Caracas,Distrito Capital,Venezuela,South America,LATAM,273
1468,Catia La Mar,Vargas,Venezuela,South America,LATAM,274
1478,Ixtapaluca,México,Mexico,Central America,LATAM,275
1481,Ayacucho,Ayacucho,Peru,South America,LATAM,276
1496,General Escobedo,Nuevo León,Mexico,Central America,LATAM,277
1497,San Cristóbal,Táchira,Venezuela,South America,LATAM,278
1506,Santo Domingo de los Colorados,Pichincha,Ecuador,South America,LATAM,279
1525,Acayucan,Veracruz,Mexico,Central America,LATAM,280
1533,Progreso,Yucatán,Mexico,Central America,LATAM,281
1539,Várzea Grande,Mato Grosso,Brazil,South America,LATAM,282
1543,Oruro,Oruro,Bolivia,South America,LATAM,283
1546,Fernando de la Mora,Central,Paraguay,South America,LATAM,284
1550,Huixquilucan,México,Mexico,Central America,LATAM,285
1563,Pereira,Risaralda,Colombia,South America,LATAM,286
1570,São José dos Campos,São Paulo,Brazil,South America,LATAM,287
1571,Santa Fe,Santa Fe,Argentina,South America,LATAM,288
1574,Itaúna,Minas Gerais,Brazil,South America,LATAM,289
1584,Indaiatuba,São Paulo,Brazil,South America,LATAM,290
1587,Diadema,São Paulo,Brazil,South America,LATAM,291
1609,Vitória,Espírito Santo,Brazil,South America,LATAM,292
1653,Guayaquil,Guayas,Ecuador,South America,LATAM,293
1663,Feira de Santana,Bahia,Brazil,South America,LATAM,294
1681,Cruzeiro do Sul,Acre,Brazil,South America,LATAM,295
1701,Petrópolis,Rio de Janeiro,Brazil,South America,LATAM,296
1711,Silao,Guanajuato,Mexico,Central America,LATAM,297
1717,Macapá,Amapá,Brazil,South America,LATAM,298
1724,Barranquilla,Atlántico,Colombia,South America,LATAM,299
1736,Quilmes,Provincia de Buenos Aires,Argentina,South America,LATAM,300
1750,Franco da Rocha,São Paulo,Brazil,South America,LATAM,301
1763,Cassilândia,Mato Grosso do Sul,Brazil,South America,LATAM,302
1767,Vitória da Conquista,Bahia,Brazil,South America,LATAM,303
1768,Apatzingán de la Constitución,Michoacán,Mexico,Central America,LATAM,304
1775,Quito,Pichincha,Ecuador,South America,LATAM,305
1787,Guanambi,Bahia,Brazil,South America,LATAM,306
1802,Zacatecas,Zacatecas,Mexico,Central America,LATAM,307
1823,Resende,Rio de Janeiro,Brazil,South America,LATAM,308
1854,Manzanillo,Colima,Mexico,Central America,LATAM,309
1875,San Juan,San Juan,Argentina,South America,LATAM,310
1892,Campeche,Campeche,Mexico,Central America,LATAM,311
1895,Itapevi,São Paulo,Brazil,South America,LATAM,312
1914,Bajos de Haina,San Cristóbal,Dominican Republic,Caribbean,LATAM,313
1932,Sucre,Chuquisaca,Bolivia,South America,LATAM,314
1933,Guasave,Sinaloa,Mexico,Central America,LATAM,315
1935,Recife,Pernambuco,Brazil,South America,LATAM,316
1945,Santo André,São Paulo,Brazil,South America,LATAM,317
1966,Rosarito,Baja California,Mexico,Central America,LATAM,318
1968,Matehuala,San Luis Potosí,Mexico,Central America,LATAM,319
1969,Francisco Beltrão,Parana,Brazil,South America,LATAM,320
1981,Guarulhos,São Paulo,Brazil,South America,LATAM,321
2020,Neiva,Huila,Colombia,South America,LATAM,322
2024,Guaymas,Sonora,Mexico,Central America,LATAM,323
2025,San Luis,San Luis,Argentina,South America,LATAM,324
2026,Cabo de Santo Agostinho,Pernambuco,Brazil,South America,LATAM,325
2038,Vilhena,Rondônia,Brazil,South America,LATAM,326
2039,Tapachula,Chiapas,Mexico,Central America,LATAM,327
2051,Grajaú,Maranhão,Brazil,South America,LATAM,328
2057,Mar del Plata,Provincia de Buenos Aires,Argentina,South America,LATAM,329
2082,Guamúchil,Sinaloa,Mexico,Central America,LATAM,330
2086,Cumaná,Sucre,Venezuela,South America,LATAM,331
2116,Tianguá,Ceará,Brazil,South America,LATAM,332
2142,Reynosa,Tamaulipas,Mexico,Central America,LATAM,333
2148,Torreón,Coahuila,Mexico,Central America,LATAM,334
2150,Guaratinguetá,São Paulo,Brazil,South America,LATAM,335
2185,Asunción,Asunción,Paraguay,South America,LATAM,336
2243,La Rioja,La Rioja,Argentina,South America,LATAM,337
2244,San Andrés Tuxtla,Veracruz,Mexico,Central America,LATAM,338
2265,Acuña,Coahuila,Mexico,Central America,LATAM,339
2279,Las Piedras,Canelones,Uruguay,South America,LATAM,340
2282,Salto,São Paulo,Brazil,South America,LATAM,341
2301,Chillán,Biobio,Chile,South America,LATAM,342
2304,Nuevo Laredo,Tamaulipas,Mexico,Central America,LATAM,343
2305,El Limón,Aragua,Venezuela,South America,LATAM,344
2309,Puerto Montt,Los Lagos,Chile,South America,LATAM,345
2332,San Fernando,San Fernando,Trinidad and Tobago,Caribbean,LATAM,346
2353,Santa Cruz de la Sierra,Santa Cruz,Bolivia,South America,LATAM,347
2435,Chimaltenango,Chimaltenango,Guatemala,Central America,LATAM,348
2466,San Nicolás de los Arroyos,Provincia de Buenos Aires,Argentina,South America,LATAM,349
2475,San José de las Lajas,Mayabeque,Cuba,Caribbean,LATAM,350
2517,Navegantes,Santa Catarina,Brazil,South America,LATAM,351
2523,Paita,Piura,Peru,South America,LATAM,352
2524,Sogamoso,Boyacá,Colombia,South America,LATAM,353
2525,Tartagal,Salta,Argentina,South America,LATAM,354
2535,Atlixco,Puebla,Mexico,Central America,LATAM,355
2541,Les Abymes,Guadeloupe,Guadeloupe,Caribbean,LATAM,356
2556,Spanish Town,Saint Catherine,Jamaica,Caribbean,LATAM,357
2559,Salamanca,Guanajuato,Mexico,Central America,LATAM,358
2580,Itaituba,Pará,Brazil,South America,LATAM,359
2593,El Tigre,Anzoátegui,Venezuela,South America,LATAM,360
2594,Paracatu,Minas Gerais,Brazil,South America,LATAM,361
2610,Juliaca,Puno,Peru,South America,LATAM,362
2632,Juiz de Fora,Minas Gerais,Brazil,South America,LATAM,363
2642,Anápolis,Goiás,Brazil,South America,LATAM,364
2650,Taboão da Serra,São Paulo,Brazil,South America,LATAM,365
2665,Delicias,Chihuahua,Mexico,Central America,LATAM,366
2688,Ocaña,Norte de Santander,Colombia,South America,LATAM,367
2705,Villa Frontera,Coahuila,Mexico,Central America,LATAM,368
2738,Rio Grande,Rio Grande do Sul,Brazil,South America,LATAM,369
2746,Metepec,México,Mexico,Central America,LATAM,370
2748,Presidencia Roque Sáenz Peña,Chaco,Argentina,South America,LATAM,371
2823,Cárdenas,Matanzas,Cuba,Caribbean,LATAM,372
2850,Puerto Vallarta,Jalisco,Mexico,Central America,LATAM,373
2856,Novo Cruzeiro,Minas Gerais,Brazil,South America,LATAM,374
2858,Quevedo,Los Rios,Ecuador,South America,LATAM,375
2863,Viña del Mar,Valparaíso,Chile,South America,LATAM,376
2871,Cagua,Aragua,Venezuela,South America,LATAM,377
2879,Nicolás Romero,México,Mexico,Central America,LATAM,378
2890,Portoviejo,Manabi,Ecuador,South America,LATAM,379
2909,Teresópolis,Rio de Janeiro,Brazil,South America,LATAM,380
2915,Ciego de Ávila,Ciego de Ávila,Cuba,Caribbean,LATAM,381
2953,Passo Fundo,Rio Grande do Sul,Brazil,South America,LATAM,382
2974,Guatemala City,Guatemala,Guatemala,Central America,LATAM,383
2997,Bahía Blanca,Provincia de Buenos Aires,Argentina,South America,LATAM,384
3002,Camaçari,Bahia,Brazil,South America,LATAM,385
3036,Temixco,Morelos,Mexico,Central America,LATAM,386
3049,Teziutlán,Puebla,Mexico,Central America,LATAM,387
3053,Zihuatanejo,Guerrero,Mexico,Central America,LATAM,388
3061,Catanduva,São Paulo,Brazil,South America,LATAM,389
3074,Taubaté,São Paulo,Brazil,South America,LATAM,390
3083,Huancayo,Junín,Peru,South America,LATAM,391
3100,Guatire,Miranda,Venezuela,South America,LATAM,392
3114,Cajazeiras,Paraíba,Brazil,South America,LATAM,393
3117,Valparaíso de Goiás,Goiás,Brazil,South America,LATAM,394
3150,Nova Serrana,Minas Gerais,Brazil,South America,LATAM,395
3153,Joinville,Santa Catarina,Brazil,South America,LATAM,396
3181,Jaboticabal,São Paulo,Brazil,South America,LATAM,397
3193,Itu,São Paulo,Brazil,South America,LATAM,398
3199,Franca,São Paulo,Brazil,South America,LATAM,399
3216,Iquitos,Loreto,Peru,South America,LATAM,400
3228,Pouso Alegre,Minas Gerais,Brazil,South America,LATAM,401
3248,Boa Esperança,Minas Gerais,Brazil,South America,LATAM,402
3255,Guanajuato,Guanajuato,Mexico,Central America,LATAM,403
3260,Chimbote,Ancash,Peru,South America,LATAM,404
3264,Contagem,Minas Gerais,Brazil,South America,LATAM,405
3315,Itajaí,Santa Catarina,Brazil,South America,LATAM,406
3336,Ilo,Moquegua,Peru,South America,LATAM,407
3348,San Bernardo,Santiago,Chile,South America,LATAM,408
3351,São Vicente,São Paulo,Brazil,South America,LATAM,409
3357,Cuautitlán,México,Mexico,Central America,LATAM,410
3366,Garanhuns,Pernambuco,Brazil,South America,LATAM,411
3372,Chincha Alta,Ica,Peru,South America,LATAM,412
3386,Cotia,São Paulo,Brazil,South America,LATAM,413
3406,San Salvador de Jujuy,Jujuy,Argentina,South America,LATAM,414
3418,Morón,Ciego de Ávila,Cuba,Caribbean,LATAM,415
3423,Senhor do Bonfim,Bahia,Brazil,South America,LATAM,416
3432,Villavicencio,Meta,Colombia,South America,LATAM,417
3452,Chiclayo,Lambayeque,Peru,South America,LATAM,418
3455,Chaguanas,Chaguanas,Trinidad and Tobago,Caribbean,LATAM,419
3463,Guayana,Bolivar,Venezuela,South America,LATAM,420
3466,Moca,Espaillat,Dominican Republic,Caribbean,LATAM,421
3473,Arapiraca,Alagoas,Brazil,South America,LATAM,422
3484,Cuiabá,Mato Grosso,Brazil,South America,LATAM,423
3492,Palmira,Valle del Cauca,Colombia,South America,LATAM,424
3498,Linden,Upper Demerara-Berbice,Guyana,South America,LATAM,425
3534,Chilpancingo,Guerrero,Mexico,Central America,LATAM,426
3538,Colombo,Parana,Brazil,South America,LATAM,427
3551,Caucaia,Ceará,Brazil,South America,LATAM,428
3560,Mossoró,Rio Grande do Norte,Brazil,South America,LATAM,429
3591,Hidalgo,Michoacán,Mexico,Central America,LATAM,430
3608,Jacareí,São Paulo,Brazil,South America,LATAM,431
3650,Palmares,Pernambuco,Brazil,South America,LATAM,432
3668,Quibdó,Chocó,Colombia,South America,LATAM,433
3673,Cadereyta,Nuevo León,Mexico,Central America,LATAM,434
3680,Ji-Paraná,Rondônia,Brazil,South America,LATAM,435
3689,Chapecó,Santa Catarina,Brazil,South America,LATAM,436
3743,Boa Vista,Roraima,Brazil,South America,LATAM,437
3765,Tehuacán,Puebla,Mexico,Central America,LATAM,438
3783,Gravataí,Rio Grande do Sul,Brazil,South America,LATAM,439
3793,Farroupilha,Rio Grande do Sul,Brazil,South America,LATAM,440
3794,Passos,Minas Gerais,Brazil,South America,LATAM,441
3859,Porlamar,Nueva Esparta,Venezuela,South America,LATAM,442
